TICKER_SYMBOL,REVENUE,COGS,PREPAYMENT,OTH_PAYABLE,C_INF_FR_FINAN_A,SURPLUS_RESER,C_FR_OTH_INVEST_A,T_NCA,OTH_NCA,MINORITY_GAIN,END_DATE_REP,RETAINED_EARNINGS,SELL_EXP,PUBLISH_DATE,T_LIAB,PAYROLL_PAYABLE,MINORITY_INT,OTH_RECEIV,T_LIAB_EQUITY,ADVANCE_RECEIPTS,DEFER_TAX_LIAB,C_PAID_INVEST,TAXES_PAYABLE,FIXED_ASSETS
2848224,3.68E+11,2.35E+11,97795831444,38477340035,1.23E+11,70826254101,8177287114,2.91E+11,9107319581,16259527691,7,95352036929,9044496840,7,1.46E+12,6896261420,82520623500,2.35E+11,1.73E+12,770781495.2,282328350.4,27924969315,25109731107,12399838267
545184,552609080.6,416518457.1,121285415.4,238867052.6,644593137.4,149519070.7,88000000,1434297397,25183670.78,3810301.84,7,-144011304.6,10505839.34,7,1289555472,10672076.58,91974531.29,19552809.61,3031840976,29795976.28,2300806.06,2500000,172199562.2,30808639.13
1607329,3731330140,2044318167,104395000,649116681.8,1919280000,1797479389,146945283.2,3269381647,1645931564,41901874.51,7,3103787190,51736223.03,7,8575092305,53582909.77,434645297.5,228929894.7,15745320851,2082336615,2067968.07,8630000000,759745230.6,13144374.38
3018406,42020841.81,13168920.02,30390,32932256.25,13000000,8998897.98,155110172.3,142127145.2,44455342.51,-58441.19,7,-265671760.1,1640569.474,7,320889069.8,1084348.39,3456210.72,19552809.61,533693420.9,647721.03,6153656.71,30297625.33,4455231.48,60078260.28
2312291,1893071131,1443553694,47542405.62,285790242.1,817883350,8592788.79,108525649.2,719308231.3,33000000,79652704.87,7,-1857506564,5032298.78,7,3537929829,11620562.33,307770509.6,259353220.3,4291660034,60707123.5,12606935.36,301110000,86839587.12,44091955.9
1036660,3961669942,1433615885,69546774.17,1136902253,2236220000,17060448.05,693999258.1,1314137739,4711963.66,-75675729.58,7,2457119795,111553952.5,7,7505924439,143493868.8,118618291.8,454182104.6,10772491741,728186032.6,3821.08,3255595579,2598283292,93557782.83
1466008,438139662.7,307725653.7,186486437.8,76989170.92,30000000,230871574.5,358439589.6,119909695,10128733.81,11046533.75,7,448616160.5,9521545.66,7,1016442450,26317667.37,64764370.06,19552809.61,1972365636,417312235.1,3977115.974,265883939.6,31958994.81,14152081.1
4364660,20817004466,14347469888,292549937.6,3257961432,29245491844,2946182770,288417140.7,76561712565,6087759098,127922679.7,7,9980390163,78455455.71,7,62527194966,902352744.1,3497863389,697651310.2,96112048125,1538134500,1387185881,2027861316,1107489449,35743959413
2421122,2548740319,957752652.5,219948.17,87185505.66,43741293.64,191222838.9,2200000000,742963955,27383102.21,-11255277.53,7,1464915817,79480254.02,7,1384686302,53909576.49,-141891335.8,235331581.7,4909669536,159482510.4,4903293.58,1414855496,585700815.4,30522035.11
298124,33786623202,19866037324,892197444.9,12201474028,43253293783,1191907996,13257343180,50320233027,933739168.4,1326910658,7,5544702580,1344234420,7,1.42E+11,600020453.6,23130063139,24435484092,1.84E+11,29792315314,678953614.6,1947520900,6177430800,4224817042
