TICKER_SYMBOL,REVENUE,COGS,PREPAYMENT,OTH_PAYABLE,C_INF_FR_FINAN_A,SURPLUS_RESER,C_FR_OTH_INVEST_A,T_NCA,OTH_NCA,MINORITY_GAIN,END_DATE_REP,RETAINED_EARNINGS,SELL_EXP,PUBLISH_DATE,T_LIAB,FOREX_EFFECTS,N_CE_BEG_BAL,C_PAID_FOR_DEBTS,C_INF_FR_INVEST_A,CIP,ADMIN_EXP
3086626,11948727207,7753660215,170803893.5,746108437.4,7173056477,277871327.6,651737211.5,10514158372,151663420.8,410720202.6,7,2240116292,1163458557,7,19502215278,17571315.63,4559504161,6383012151,3068254472,734179640.7,1125915967
3174326,1834846120,1684718157,26489204.75,93089642.63,795956133.4,53837527.07,89377107.9,1025238396,77555611.07,1527716.49,7,-2135436937,17749668.04,7,163232097.2,448362.35,1386748464,22016000,2012803150,16325409.47,56566504.75
3798754,948963902.3,284153946.3,2697605.68,191330830.7,1123940808,144221372.7,749367668,10753069740,10034250,25673433.69,7,2112344442,23157847.03,7,6972790023,2743.59,120827068.6,1260268000,361221102.4,99198446.03,101791564
4744014,1493227561,985447744.1,13006600.63,976309030.3,560546600,165491969.1,2443743.4,1975642537,44881097.69,24720327.81,7,343960725.1,22829579.24,7,3680011813,224966.332,1713792817,982721913.4,1356217693,128976720.3,136722780
867049,2852962645,1821594660,103813590.7,686582268.2,5779065000,281757762.7,187074990.9,15500219439,16259271.18,96689301.32,7,420569043.2,111614118.7,7,12730858429,14863.55,1860317522,5550657592,1263020614,1454667430,407399309.1
600597,9446620387,8639818740,1130137980,164677366,3823616461,257828715.2,38938861.01,5898449825,141776555.3,-5891725.95,7,1420893615,221155239.8,7,8235856534,-626813.19,1793943347,3322747877,16396821.43,377435457.2,407722531.1
4611362,38802730000,24366431000,31701000,273900000,55572580000,239001000,285293000,2.49E+11,28668228000,1474473000,7,12122736000,186364000,7,2.11E+11,130394000,6344872000,52044226000,19923643000,940000,1846526000
3211931,1110553010,545980013.7,104192862.4,224402678.4,2021675792,74854897.59,22691972.49,4838048977,34231879.12,-48180687.44,7,35985001.11,23532305.86,7,4111419374,-153114.756,253786118.9,2077251556,33755457.56,588567830.4,534443484.7
3866128,129912816,163316110.9,791444.79,13840246.14,71703814.6,3436744.04,7611670,398211072.3,21771936.99,-1934419.23,7,422703604,16397244.37,7,77726675.67,4450142.21,668821273.5,60346268.36,30582343.52,25491014.23,121360189.3
1373528,134160532,49682243.27,869909.9,9967473.068,145826425,34545734.18,7921651.3,124744676.5,73200,-537055.99,7,-479499099.1,34731239.03,7,153874879,390793.68,59012656.66,179000000,124329876.9,6221753.836,55301564.26
