Number,REVENUE,COGS,PREPAYMENT,OTH_PAYABLE,C_INF_FR_FINAN_A,SURPLUS_RESER,C_FR_OTH_INVEST_A,T_NCA,OTH_NCA,MINORITY_GAIN,END_DATE_REP,RETAINED_EARNINGS,SELL_EXP,PUBLISH_DATE,T_LIAB,T_COGS,T_PROFIT,T_COMPR_INCOME,OPERATE_PROFIT
403156,108246697.3,29215586.53,21392318.32,51593010.32,159224111.7,13414212.11,97703131.54,1013505779,19614484.33,-6703360.79,7,14161935.58,83101037.48,7,90033219.05,133236038.9,6058115.17,-3603992.92,7300522.48
4465809,3220142985,1653972582,305039174.5,222334632.2,2229060839,49656991.83,1365268,5426459450,22452320.57,23036341.44,7,2072996882,296037992.4,7,4468062798,2765126001,546672520.8,442718722.1,549996448.1
3539128,10472028099,7743129614,78196027,275138126,3471013352,946251286,36649460,13467885646,120399893,23988759,7,4859600841,389269235,7,8335380431,9508091953,662106627,561905207,663718880
3500898,55119125479,52138198501,2072550812,1163960783,32403367267,1211721110,2085669169,17164168580,1172472724,122901905.3,7,4239763607,2303132732,7,32660257665,56684201307,450576207.2,325934180.9,303266170.6
416037,76022687.75,68681471.12,938425.99,146056268.6,4275000,32673227.01,22651137.42,6387085.49,400000,-626976.01,7,-1204736076,3178476.39,7,51292019.49,80986694.86,-7801557.13,-7813881.65,-7996248.15
4927348,721557440.5,634502127.4,23007637.46,17191860.27,215911217.1,77391593.25,75000000,297490251.5,225700,5019347.602,7,-177712041.9,20879256.97,7,284735850,713911668.3,7750758.45,5460049.15,7900400.31
2649230,13223818815,11963553425,2357527931,433210475.1,19173570094,1110435435,1115649134,6449779008,102840097.2,89557347.47,7,3281258521,61296144.19,7,11351250771,12558806980,546594113.3,490232676.1,546398117.6
4330337,1830534177,1583927524,17329488.81,91002437.37,398673004.5,50489790.61,101046552.8,394583634.1,11594787.61,23744043.6,7,181586715.4,11521306.55,7,1934503372,1727496177,108013424.2,74568620.34,103886572.9
3794224,10063808026,8656969581,74474311.85,458358324.2,483058146.8,678581095.7,31010126.59,6120134459,179115546.6,-7759065.53,7,3969465094,310864915.3,7,5466923381,9742857477,948942763.9,884068049.1,939302231.3
2653117,85815341000,73355605000,2887353000,5129759893,87407283000,3582343000,3553639125,82084394000,58928000,967887000,7,21482857000,2297273000,7,1.17E+11,90022721000,5613874000,3585589000,5838747000
1933283,6805761616,5930318065,4883792708,691549194.2,2427079788,216091994.4,291338977.3,13904468756,4444466863,-21643.69,7,1031098659,14605977.87,7,17466675344,6890317198,-900171023.1,-957173101.9,-782761516.9
413331,2158184856,1973495608,18445857.53,49292520.92,289808607.9,90596923.39,4164457419,2304725646,3079321.1,-38206589.06,7,49307764.03,20785078.66,7,676784315.8,2168659187,9532401.59,-71027675.91,4949428.32
3822450,4918723381,2339925849,41616774.56,1394511012,90538473.59,181706045.2,3818580000,1168365803,25802756.6,57413485.15,7,1510984158,107055793.8,7,4094259641,3515796468,1510572674,1157588946,1526154978
1522092,18442687582,16900676221,19207209.99,476872021.2,2269010326,84323558.4,6437280000,1580622279,58886973.11,167657905.3,7,1892903658,131994691.5,7,5908903567,17607328119,853990787.1,670771843.2,841033579.5
1530498,30281970068,25180411084,21171901.64,2676166250,15125680800,187273731.8,2665056,51054305050,213378232.9,658377704,7,3426521411,472167334.9,7,38743783948,29520919770,1018624639,845862454.9,1003532359
198539,3005749559,2169176295,21327109.18,540708235.7,1094836281,159805930.3,73198976.73,6666854778,28701802,-1009578.43,7,3898626178,57584186.2,7,6138759491,2601531254,417033292.8,344070533,418141980.5
3026430,39608340979,33842254831,1750476372,222255810.8,6513600000,584499041.9,545099156,16048513962,162021941.7,56020873.54,7,5417563619,300064835,7,15213067305,37979107669,1259351041,1048976369,1208679681
2013553,22800522837,20726625903,93580881.24,1173937513,5380017139,964588370.7,2320000000,13658838803,1079243203,19282830.71,7,5138614509,283588796.7,7,8956772252,22210012309,1026199573,909793500.8,1039754177
