TICKER_SYMBOL,ACT_PUBTIME,PUBLISH_DATE,END_DATE_REP,END_DATE,CASH_C_EQUIV,NOTES_RECEIV,AR,PREPAYMENT,OTH_RECEIV,INVENTORIES,OTH_CA,T_CA,AVAIL_FOR_SALE_FA,LT_EQUITY_INVEST,FIXED_ASSETS,CIP,INTAN_ASSETS,LT_AMOR_EXP,DEFER_TAX_ASSETS,OTH_NCA,T_NCA,T_ASSETS,ST_BORR,NOTES_PAYABLE,AP,ADVANCE_RECEIPTS,PAYROLL_PAYABLE,TAXES_PAYABLE,INT_PAYABLE,OTH_PAYABLE,NCL_WITHIN_1Y,T_CL,LT_BORR,DEFER_REVENUE,DEFER_TAX_LIAB,T_NCL,T_LIAB,PAID_IN_CAPITAL,CAPITAL_RESER,SURPLUS_RESER,RETAINED_EARNINGS,T_EQUITY_ATTR_P,MINORITY_INT,T_SH_EQUITY,T_LIAB_EQUITY,C_PAID_OTH_FINAN_A,N_CF_FR_INVEST_A,C_FR_BORR,N_CF_OPERATE_A,C_FR_CAP_CONTR,C_PAID_INVEST,C_FR_OTH_FINAN_A,C_INF_FR_INVEST_A,C_PAID_G_S,C_PAID_FOR_OTH_OP_A,PROC_SELL_INVEST,C_FR_SALE_G_S,REFUND_OF_TAX,C_INF_FR_OPERATE_A,GAIN_INVEST,N_CHANGE_IN_CASH,FOREX_EFFECTS,C_PAID_FOR_TAXES,C_PAID_DIV_PROF_INT,C_FR_OTH_INVEST_A,C_OUTF_OPERATE_A,C_FR_OTH_OPERATE_A,C_OUTF_FR_INVEST_A,C_PAID_FOR_DEBTS,DISP_FIX_ASSETS_OTH,N_CF_FR_FINAN_A,N_CE_BEG_BAL,N_CE_END_BAL,PUR_FIX_ASSETS_OTH,C_INF_FR_FINAN_A,C_PAID_TO_FOR_EMPL,C_OUTF_FR_FINAN_A,ADMIN_EXP,A_J_INVEST_INCOME,REVENUE,T_REVENUE,T_PROFIT,NCA_DISPLOSS,OPERATE_PROFIT,ASSETS_IMPAIR_LOSS,COMPR_INC_ATTR_P,T_COMPR_INCOME,N_INCOME_ATTR_P,INVEST_INCOME,FINAN_EXP,SELL_EXP,COGS,N_INCOME,BIZ_TAX_SURCHG,NOPERATE_EXP,COMPR_INC_ATTR_M_S,INCOME_TAX,NOPERATE_INCOME,MINORITY_GAIN,T_COGS,FLAG
15617,3,3,2,1,8052528488,13051800,2403950329,1119294838,118427863.5,1982252853,71605093.58,13761111265,217048551.4,107260633.6,1249862111,112397759.1,244256517.4,11983764.28,88169423.86,329389789.6,2741619564,16502730828,564379680,120772201.5,5733655275,4454817789,136449943.6,59857046.27,83510.99,116822041.3,11366949.57,11077432235,42500000,15462955.12,165619404.9,210216573.1,11287648808,637202779,1732008582,406882599.5,1980957436,4681759973,533322047.6,5215082020,16502730828,20858999.96,-634975572.2,1078525088,968247523,8764769,3292586222,1008889403,2821267522,6203636019,491295999.1,2771172042,7149094045,213086501.7,8278108832,32618972.07,469340038.4,-55579487.25,289056720.2,220551125.4,9050245.08,7309861309,915928285.2,3456243094,1663121560,8023653.57,191647574.8,7558838450,8028178488,163656871.6,2096179260,325872571,1904531685,322118057.2,-51388083.91,9235717731,9235717731,860175974.1,28808352.27,886880675.7,87996377.66,633681453.6,576325258.2,718476718,-35333982.38,-19155118.65,290714974.6,7623255198,708711622.3,7125510.09,31155887.39,-57356195.41,151464351.8,4451185.79,-9765095.71,8312054999,0
21990,2,2,2,1,717429859,48117321.5,549174261,128189038.9,112013084.6,322218453.2,60000000,1939897734,41965503.29,81808057.04,980210411.4,250371677.1,373975078.8,19149273.19,13890319.04,6580000,2249063450,4188961184,373009926.3,162777648.3,508837707.1,134015465.6,100668064,25191552.76,1588415.92,40153870.97,33200000,1471893251,122440000,76448288.66,72943417.17,227747647.5,1699640898,531000000,260871095,203795284.9,1286730284,2289871286,199448999.3,2489320285,4188961184,19492818.67,-442992574.8,1082830470,184275730.7,39100000,305772553.7,20962179.41,210554176.2,4497707985,104071475.3,612932235.2,5170481106,5696889.54,5372504602,27009457.71,-77637379.04,4050724.08,138141138.6,62195459.09,354647922.4,5188228872,196326607.1,653546751,882706270.3,183544718.4,177028741,632226329.1,554588950,347774197.3,1121930470,448308273.1,944901729.4,141251277.2,-1416670.21,4779421500,4779421500,477760618.2,2700991.69,237463468.4,6481069.94,329305035.5,361767829.7,329305035.5,26490547.12,-10633660.9,12816829.22,4404301933,361767829.7,14231130.13,5117440.4,32462794.22,115992788.5,245414590.2,32462794.22,4568448579,0
49001,3,3,2,1,4746927245,503576561.9,460585214.5,416944038.3,4372655.07,1171747032,743835688.3,7373091283,400000000,839200000,2878673056,1655575186,1445621574,395823121.5,300570977.3,148612603.6,8122415993,15495507276,20000000,99940000,447919086.1,66480296.71,41216964.05,-152680755.4,2600264.022,448633310.4,100200000,1071708902,584067499.4,225121677.5,9478920.89,1064869072,2136577974,3226604400,6744164785,740656601.6,1852833164,13094749796,264179505.9,13358929302,15495507276,346780.29,-1166253588,404267499.4,333342583.9,16122000,819700000,441340354,615769556.2,7185917919,232184499.6,500000000,8772053617,2202189.57,9037573817,21654493.15,-989179569.8,-2456225.29,633568200.8,547533059.2,93664263.01,8704231233,263318011,1782023144,10200000,450800,-153812340.1,5463176184,4473996614,792323144.4,404267499.4,652560614.4,558079839.5,394984394.8,-7981507.17,8616010088,8616010088,281539582.2,17879601.27,272642055.9,65272125.41,177623492.6,182214568.6,178022588.5,16707767.12,-105074392.2,38673852.24,7916002970,182713438.5,50216848.52,18387540.87,4591076.01,98826143.72,27285067.18,4690849.99,8360075799,0
62331,3,3,2,1,235270161.6,309015962.4,69837951.49,22589791.2,8280130.52,175133159.2,79656696.2,899783852.6,84945643.04,98994935.07,233245871,1265801135,305241801.2,26692037.2,3717030.52,81106857.08,1811809659,2711593511,464795500.5,15450000,158052576.5,15206023.6,16853455.77,11899056.23,4027004.44,10516007.7,112000000,808799624.8,659880000,3760000,9573439.594,663640000,1472439625,348661321,653047268.8,126139077.3,111306219.3,1239153886,33215461.18,1239153886,2711593511,47291685.9,-674756907.7,1051816051,49582950.04,632082532.6,261381140.2,7000000,35945370,254490964.3,73202182.74,188517156.9,494452877.5,2076918.76,504223098.6,13152573.25,-26782583.53,-2427517.44,52054446.78,97403673.54,35786570,454640148.6,7693302.37,710702277.7,992676018,158800,600818891.5,251660897.9,224878314.4,701561277.7,1690898583,74892554.76,1090079692,80921793.07,10267947.33,1521988774,1521988774,35388612.6,10515,33093528.17,3125253.43,29210207.4,29049487.27,29210207.4,-4858090.99,31677138.64,35180265.64,1331947154,29049487.27,6043641.76,2473162.59,-160720.13,6339125.33,4768247.02,-160720.13,1488895246,0
66252,3,3,2,1,174263277,5933418.836,195856954.4,72011553.14,3421675.45,98479699.49,287449995.7,832860398.9,700000,17537706.16,300225771.9,80293182.89,87798567.28,1756002.83,9207893.49,4266559.906,509589645,1342450044,251000000,79102032.12,90527003.64,21549447.75,11860075.75,2514892.56,678738.86,5437593.43,38211958.29,383567752,94270248.1,16254280.15,4523326.412,16254280.15,399822032.1,88000000,556207473.1,18540488.67,249113904.8,911861866.6,30766145.22,942628011.8,1342450044,85657242.12,-464222564.2,293434238.2,100308137.5,9813300,441163008,97338038.75,162798506.7,1216400254,62080454.75,160000000,1416764887,77138765.31,1524673062,2183318.55,-414513208.1,-55058.8,21000257.55,42347357.26,118830430.4,1424364925,30769409.82,627021070.8,311443903.6,615188.11,-50543722.67,588776485.1,174263277,185858062.8,303247538.2,124883958,353791260.8,65917225.7,394961.626,1349625915,1349625915,61325416.88,143246.61,49491501.87,-1087027.44,56876819.33,55208481.31,56876819.33,1521024.71,17131568.55,26163832.34,1191608227,55208481.31,1921611.67,1148674.12,-1668338.02,6116935.57,12982589.13,-1668338.02,1301655438,0
81307,4,4,4,1,98177282.46,596000,89989199.03,3816884.528,5495691.55,146321981.7,5608146.428,340580154.7,4398000,13038979.26,10298275.42,6039081.022,465895.54,1439034.77,1055014.89,3917003.814,13258220.62,353838375.3,64260400,38091300.86,119735520.1,9819038.542,6131104.51,12257996.13,83014.228,457288.86,16056277.48,176673210.5,10580000,7241553.884,197262.698,8706346.018,176673210.5,69830508,61731258.78,4996159.29,40607238.8,177165164.9,5945127.298,177165164.9,353838375.3,1250000,-4318017.5,45820400,333094.47,12000000,31860000,11099676.8,22224188.25,132743524.5,34762170.69,33008324.53,176628182.5,4072137.36,195070336.5,598429.722,-259784.5,-914666.218,12252831.47,4724861.47,7340254.916,194737242,18442154.04,4318017.5,2300000,1568884.378,3725138.53,98437066.96,98177282.46,4318017.5,12000000,14978715.39,8274861.47,28616390.53,-852773.39,284755713.3,284755713.3,46431805.85,186912.748,42165352.15,3199491.11,40508254.62,40508254.62,40508254.62,15474085.31,-532231.13,12217814.34,204379524.6,40508254.62,6927186,2123546.3,1631185.756,5923551.23,6390000,1631185.756,242590361.1,0
83621,3,3,2,1,121396201.6,50921307.34,181941997.3,14268716.69,8786195.38,916846509.5,7045714.03,1334801892,15660000,60841384.09,264107562,1555282,30011033.37,1427015.93,1334410.08,9467753.568,492100884.7,1826902776,170000000,8414467.284,57215549.63,23827201.09,3630698.02,8546018.89,1121630.142,89686002.53,29500000,385818805.3,76000000,5096000,15424081.02,93295657.25,479114462.5,847407034,545349456.8,33035032.64,-359210608.4,1066580915,281207398.9,1347788314,1826902776,1252900,-63765129.5,279000000,-70240402.36,37100735.54,75000000,31557968.76,78259783.12,777519989.3,96566340.98,77000000,788731129.2,29814268.2,933698693,1031744.43,-219504573.1,-225138.45,59185003.61,34121738.31,85571225.55,1003939095,102489643.5,142024912.6,366000000,228038.69,-85273902.77,340846669.7,121342096.7,32374912.62,316100735.5,70667761.45,401374638.3,59732378.47,544684.24,857860505.3,857860505.3,51959524.19,266686.91,18570129.24,-945541.02,43478579.76,48780554.33,43478579.76,1576428.67,18113821.64,39687261.28,715508347.5,48780554.33,8770536.92,2787552,5301974.57,3178969.86,36176946.95,5301974.57,840866804.8,0
85904,3,3,2,1,151347455.2,59985548.54,341553664.8,4936309.36,17737922.43,85824949.56,0,663938569.6,21000000,0,260044631.7,590960.77,31899695.04,0,4397627.08,0,334887665.6,998826235.2,20000000,20690000,59566819.85,7509536.4,3300739.06,6732191.86,137222.416,13624535.21,27378650.77,131466703.2,45376063.5,10872462.86,7334356.776,10872462.86,142339166.1,107588000,559578202.2,34234616.61,155086250.4,856487069.1,44263302.03,856487069.1,998826235.2,14096600.09,-133862261.9,20000000,-14296419.38,10547054,294680000,65418199.02,171935291.9,162369169,28463266.88,257760000,222750527.5,5644963.634,241186446.9,1856233.56,-192153992.4,-451758.846,35918208.17,33995311.1,117958365.2,255482866.2,18435919.34,133862261.9,30000000,8242133.214,-43995311.1,323990987.5,131836995.2,16534595.14,20000000,28732222.22,63995311.1,28744790.15,175297.856,313393372.8,313393372.8,36761704.8,53249.41,28154857.37,231335.84,29445766.41,29445766.41,29445766.41,7810379.604,-5184746.58,36177522.07,223694922.8,29445766.41,1574691.09,677931.42,2212785.482,7315938.39,9284778.85,2400327.922,285238515.4,0
98122,2,2,2,1,317601215.4,7833320.956,1573405.02,6766299.34,17407643.35,16943506.49,12830617.27,440781778.7,4155952,617814629,777426448.2,63136546.81,39267205.51,19176793.69,8032729.64,72318687.73,1520977575,1961759354,774800000,199850000,219849929.7,851277.06,22292381.1,1872822.52,1196405.196,149123198.3,33869664.25,1370783712,112208025.3,27517118.44,35738,2848238,1373631950,416268225,175862455.5,95793173.26,-102702964,588127403.8,31469353.9,588127403.8,1961759354,13400821.78,-61286630.65,1001800000,-105477484.8,57923821.18,66874000,119064342.2,24156128.45,908374151.5,224269476.3,13552115,1090381785,9648100.342,1152393702,10475240.19,-53608297.93,-339.088,50321174.11,52854182.48,20765087.96,1257871186,62011916.84,85442759.1,835790000,68733,113155817.5,173640620.1,120032322.2,85442759.1,1001800000,74906384.51,888644182.5,147889273.1,151061167.4,862460167.4,862460167.4,14441462.8,225524.4,14540413.62,9008774.98,14407604.8,14407604.8,14441462.8,157377352.6,51228094.78,51036784.09,732943173.7,14441462.8,14345619.1,477799.21,1043098.618,14269525.79,378848.39,1043098.618,1006451720,0
135402,3,3,2,1,223689088.4,3696783.9,100978793.9,2020939.26,7979419.33,6631701,124443838.9,470469810.3,14831356.47,269745329.9,299158493.1,223821373.9,41895010.9,1576525.9,10118654.56,34507372.35,609819920.1,1080289730,50000000,46242949.18,37039670.11,1009568.05,1214778.67,16622879.92,302794.42,2994075.33,29400000,185340565.8,68600000,30651229.01,6796371.7,99251229.01,284591794.8,270000000,318774678.4,21139320.9,182949444.5,795697935.6,35074869.22,795697935.6,1080289730,15733115.34,-96725073.52,130000000,30815490.02,68925174,20000000,24301886.99,112089463.5,59651441.61,32564022.31,20000000,153510609.9,13550336.06,169824533.4,85435.61,5868974.61,-2780.79,23745789.03,28218661.1,92003194.22,139009043.4,2763587.48,208814537,30000000,833.65,71781338.9,171077164.6,176946139.2,182650537,130000000,23047790.44,58218661.1,29116461.8,5784534.866,232414794,232414794,70612327.06,10485.4,54642224.34,34172361.84,58823762.58,58823762.58,58823762.58,85435.61,-6045506.98,29194351.3,89673614.78,58823762.58,1746722.49,144343.21,-304841.986,11788564.48,16114445.93,-117299.546,177858005.2,0
