TICKER_SYMBOL,ACT_PUBTIME,PUBLISH_DATE,END_DATE_REP,END_DATE,CASH_C_EQUIV,NOTES_RECEIV,AR,PREPAYMENT,OTH_RECEIV,INVENTORIES,OTH_CA,T_CA,AVAIL_FOR_SALE_FA,LT_EQUITY_INVEST,INVEST_REAL_ESTATE,FIXED_ASSETS,CIP,INTAN_ASSETS,LT_AMOR_EXP,DEFER_TAX_ASSETS,T_NCA,T_ASSETS,ST_BORR,AP,ADVANCE_RECEIPTS,PAYROLL_PAYABLE,TAXES_PAYABLE,INT_PAYABLE,OTH_PAYABLE,T_CL,DEFER_REVENUE,DEFER_TAX_LIAB,T_NCL,T_LIAB,PAID_IN_CAPITAL,CAPITAL_RESER,SURPLUS_RESER,RETAINED_EARNINGS,T_EQUITY_ATTR_P,MINORITY_INT,T_SH_EQUITY,T_LIAB_EQUITY,OTH_COMPRE_INCOME,C_PAID_OTH_FINAN_A,N_CF_FR_INVEST_A,C_FR_BORR,N_CF_OPERATE_A,C_FR_CAP_CONTR,C_PAID_INVEST,C_INF_FR_INVEST_A,C_PAID_G_S,C_PAID_FOR_OTH_OP_A,PROC_SELL_INVEST,C_FR_SALE_G_S,C_INF_FR_OPERATE_A,GAIN_INVEST,N_CHANGE_IN_CASH,FOREX_EFFECTS,C_PAID_FOR_TAXES,C_PAID_DIV_PROF_INT,C_OUTF_OPERATE_A,C_FR_OTH_OPERATE_A,C_OUTF_FR_INVEST_A,C_PAID_FOR_DEBTS,DISP_FIX_ASSETS_OTH,N_CF_FR_FINAN_A,N_CE_BEG_BAL,N_CE_END_BAL,PUR_FIX_ASSETS_OTH,C_INF_FR_FINAN_A,C_PAID_TO_FOR_EMPL,C_OUTF_FR_FINAN_A,ADMIN_EXP,A_J_INVEST_INCOME,REVENUE,T_REVENUE,T_PROFIT,OPERATE_PROFIT,ASSETS_IMPAIR_LOSS,COMPR_INC_ATTR_P,OTH_COMPR_INCOME,T_COMPR_INCOME,N_INCOME_ATTR_P,INVEST_INCOME,FINAN_EXP,SELL_EXP,COGS,N_INCOME,BIZ_TAX_SURCHG,NOPERATE_EXP,COMPR_INC_ATTR_M_S,INCOME_TAX,NOPERATE_INCOME,MINORITY_GAIN,T_COGS,FLAG
9063,3,3,2,1,5308711476,120140919.2,83343554.26,1068590106,199847125.6,1890695887,7465037.78,8879168976,12622291.31,335431771.6,70897893.22,2445578525,396499853.8,148826729.7,253233226.6,40674350.95,3368332870,12247501846,180000000,2533208351,2673566464,175878392,129365406,330000,644979167.7,7800168088,7321066.33,34406290.67,23625805.16,7823793893,406528465,937616755.9,282943151.2,2772749013,4399837385,23870567.82,4423707953,12247501846,-13841537.93,83691328.63,-752441449,265400000,316073719,597415214,500270750,3649747261,29262336006,2394214164,576154924.3,33960947814,34894643444,16633826.93,-310875577.3,16592019.8,1220126960,243031732.7,34578569725,932966297.5,4402188710,474900000,5432709.94,125492152.7,3272376878,2961501301,341325808.6,927115214,1701892595,801623061.4,758581385.6,42723589.2,31375480311,31375480311,967532139.1,935959205.8,-5121234.01,818469753.1,-28151935.95,817472113.7,818469753.1,16633826.93,-6009423.04,3084703722,26386208756,817472113.7,237791726.5,19997626.17,-997639.38,150060025.5,51570559.53,-997639.38,30456154933,0
42805,3,3,2,1,216364187.7,43966738.9,11523918.65,32076551.53,4374326.22,307566788.2,20760872.03,571905772.3,6000000,151049208.9,64104717.82,545845580.7,41809116.19,61950533.82,253460.11,30931425.18,759816779.2,1331722552,62589583.42,127483549.6,3220820.24,49562968.28,3502881.83,1823441.802,136146980.1,383458760.8,6075657.88,46189561.45,233868657.9,617327418.6,367916646,385123355.8,38293481.57,-376283253.1,428278125.3,286117007.6,714395132.9,1331722552,13227895,15098962.22,-24380834.61,79389600.42,215015877.8,49369999.38,108738386.6,104000119.9,746668845.8,108991536.1,99149535.42,1525937432,1546582856,5613592.374,75417549,1455322.114,274308642,57807077.62,1331566978,19731692.85,128380954.5,136800017,4850584.44,-115217494.2,139612459.4,215030008.4,128380954.5,79389600.42,201597954,194607094.6,91186634.6,3678044.446,1307258427,1307258427,207002312.7,195093057.3,36070814.93,107681213.8,25742040,192318008.2,94453318.77,44969461.42,9818169.61,102844982,801384229.5,166575968.2,115830000.4,4181230.1,84636794.41,40426344.55,16090485.55,72122649.41,1157134831,0
61094,2,2,2,1,4.96E+11,557681669,878145437.9,3787784826,3118311296,47680453079,3842883544,3.544E+11,1.78E+11,2176000000,277000000,13734000000,5248600000,1263000000,156278959.8,8434000000,2.0241E+11,3.64E+12,15082600000,2248411959,7741500148,10500000000,4355000000,28143000000,8450049143,4.31397E+11,71821303.85,4341400000,40439007529,3.41E+12,46787000000,44734000000,15495000000,76690000000,2.26E+11,5124000000,2.31E+11,3.64E+12,-1002600000,9371200000,-10324000000,14921000000,-1.36E+11,12052200000,4.84E+11,4.79E+11,56872768034,25324000000,4.78E+11,53665361926,8.35E+11,46000000,-1.37E+11,-2355000000,21555000000,9335000000,9.72E+11,21178000000,4.89E+11,9337000000,130000000,11722000000,3.37E+11,2E+11,5292000000,30394000000,17863000000,18672000000,1847087482,109000000,1.05E+11,1.05E+11,52549000000,52285000000,11940000000,34263000000,-5060000000,34657000000,39175000000,191000000,290792516.2,5523181874,52273000000,39717000000,7488000000,102000000,394000000,12832000000,366000000,542000000,52273000000,0
79573,5,5,1,1,1450882602,7785558.27,66183350.87,19015410.6,177458896.7,533182.35,454000000,2195238113,515747.2,148292940.8,81176759.57,502005258.6,67801657.66,152867841.6,28883765.39,5582164.3,1238701396,3433939509,97392600,31016981.46,366788792,34431969.46,17046599.35,70523.11,37780874.73,585940153.8,44878183.21,12977433.98,13811558.93,599751712.7,1807000000,1203542418,35061708.21,-257220670.8,2781588808,52598987.77,2834187796,3433939509,1828836.138,20090902.88,-526776739.6,97392600,-77100007.11,21600000,1597700000,1525758842,161399135.8,731209158.4,1292700000,926104555,1197750678,233021583.3,-497925955.5,-2844205.65,53004859.85,9830433.54,1274850685,270667985.9,2052535582,367169.62,37258.73,108794996.8,1948808557,1450882602,238686675,118992600,329237530.8,10197603.16,525603991.8,-1088192.198,894262281.5,894262281.5,42921174.52,4026539.58,-917816.49,8568801.88,-3092603.69,21101069.1,11661405.57,233021583.3,-60897973.27,455788693.7,175689396.2,24193672.79,27991033.43,208051.39,12532267.22,18727501.73,39102686.33,12532267.22,1123257325,0
82409,2,2,2,1,789108250.1,10438270.52,14976228.48,5053662.91,698204.85,71493838.62,263423472.5,891768455.4,69014702.43,47671069.23,19589010.16,91499870.8,12879352.58,76567276.12,3574189.422,3985026.07,184931525.6,1076699981,88200000,6521937.13,29977704.56,1214792.91,501028.13,425489.724,476443.21,38691905.94,3990888.57,2832411.658,10086692.48,38691905.94,150000000,582952272.3,32995689.76,268732844.9,1034394874,3613201.35,1038008075,1076699981,-164294.442,10740543.42,-1971018.98,147316000,66295456.21,2268990.84,69646000,14923.07,68822966.4,8610031.34,85993769.1,181204296.6,201807023.4,9794758.86,53937609.61,-2486827.62,29390002.86,7900000,135511567.2,20466044.07,1985942.05,104516000,14923.07,-7900000,735170640.5,789108250.1,1985942.05,22784990.84,28688566.61,7900000,19163136.57,10401126.8,162904931.5,162904931.5,59355714.5,56090031.52,1030060.2,49549379.63,2999,50071957.56,49546380.63,11571060.37,-13606831.31,6432341.61,91467067.73,50068958.56,2329125.17,3234.51,522577.93,9286755.94,3268917.49,522577.93,106814900,0
84874,2,2,2,1,2.3E+11,21213368.59,638107446.3,114590615,280561157.1,34090938340,2785385155,3.516E+11,578000000,485000000,116000000,3694000000,563518536.5,5463000000,94030699.27,4406000000,2.07705E+11,1.89E+12,9923438233,1767140162,1287209580,6013000000,4205000000,16605000000,6546440286,4.32547E+11,469767241,8620800000,45007994486,1.78E+12,9521000000,54171000000,4354000000,29963000000,1.12E+11,926000000,1.12E+11,1.89E+12,-2437000000,10308278097,-87011000000,6603229550,91674000000,14734000000,5.46E+11,4.61E+11,11696037609,26088000000,4.44E+11,6616246387,4.15E+11,17345000000,9037000000,-536000000,8652000000,1824000000,3.24E+11,2066000000,5.48E+11,8000000000,28000000,4910000000,1.72E+11,1.81E+11,1750000000,14734000000,9660000000,9824000000,2608982381,102000000,52189000000,52189000000,20040000000,19955000000,6890000000,13420000000,-1811000000,13420000000,15231000000,1140000000,499934010,5523181874,32234000000,15231000000,4065000000,26000000,115600000,4809000000,111000000,94000000,32234000000,0
85820,3,3,2,1,1073078552,111921405.1,173541577.9,43546472.94,5620099.73,518084205,2128941.08,1927921254,63469966.39,91174192.81,162845859.9,832036367.7,73484941.41,7914059.58,11420376.47,16971799.77,1009520539,2937441792,197000000,76509995.77,16456800.67,32540913.02,12081565.18,3293269.778,170799066.2,533453466.1,8000000,46345494.11,45707944.06,579161410.1,277849434,1048417122,63842144.49,360428458.7,1750167858,608112524.4,2358280382,2937441792,-369301.47,112700189.4,-89544797.16,367000000,80079694.61,572799992.8,1486279.06,10488896.68,2205831066,124666274.5,59484000,2665869137,2762983697,281296.68,183385742.4,-15157975.31,207064547.5,185223875.3,2682904003,75160841.39,100033693.8,532321297.3,207600,208008820.2,881190802.4,1064576545,98547414.78,1038254182,145342114.7,830245362,154769375.6,539424.232,2302526391,2302526391,95964728.34,88751584.66,7310806.46,34939506.79,-40812.34,83220486.14,34980319.13,2760732.102,24963345.14,28031641.15,1870287206,83261298.48,128412432,434272.24,48280979.35,12703429.86,7647415.92,48280979.35,2213774807,0
119796,3,3,2,1,1806371989,25310076.13,10972368.72,10831062.04,9479814.64,562101064.7,190000000,2589756299,10479140.19,292365525.9,633563973.7,55881169.05,262000,240921.5,2923073.18,49686617.33,766697430.5,3356453729,375000000,110157339.9,530890050.3,8208992.63,5844335.95,21816666.67,568262852.8,1680014010,25940138.78,120439134.2,424676847,2104690857,293328001,50555094.95,45716411.03,498794775.3,1216011075,35751797.43,1251762873,3356453729,327616793,6091228.164,-177185196,376000000,640751696.3,115202754.7,190000000,47678719.58,447939743.3,89623443.7,288079539.1,1328419237,1362398675,107270.58,762565233.9,-70859.36,147638121,33430406.95,721646978.4,31470199.78,224863915.6,43500000,186449,299069593.1,1035416687,1797981921,5493859.53,376000000,36445670.44,76930406.95,44526806.57,10183388.28,792030183.2,792030183.2,130700333.6,128611963.4,-188138.71,423797618.1,327616793,428675614.6,96180825.1,2016476.05,-1664539.97,53771852.35,489868040.4,101058821.7,82152174.33,536626.54,4877996.57,29641511.91,2624996.7,4877996.57,668466194.9,0
129641,3,3,2,1,234973830.7,1000000,354463620.7,7431926.54,265234975.2,32580640.99,87144987.89,1036787409,900000,99569983.6,119205695.9,256586307.9,6862408.2,1736956.86,4971478.08,908276.37,387105957.9,1423893366,146009880,122878298.4,249181636.7,48614562.84,19516184.01,304006.894,119278084.4,616361854.4,8127353.42,51786479.58,8127353.42,624489207.8,529966415,-71446022.41,31915234.95,258247245.3,748682872.8,50721285.86,799404158.7,1423893366,200613797.9,209618746.4,-113802320.4,289985880,151705567.4,9939171,154388953.6,82759778.76,961777488.6,182782965.6,68281089.02,1604138783,1634040185,14233114.2,-228350329.4,-1653933.374,75542563.11,5914693.61,1482334618,29865393.5,196562099.2,80000000,245575.54,-266253576.3,417376060.8,189025731.5,42061375.65,29279863.66,262231600.4,295533440,87348361.55,21321780.38,1567964674,1567964674,172378416.5,169916809.7,4768731.18,161286500.8,12397477.78,169726015.4,161286500.8,23953421.52,895577.8,154652657.9,1136731663,169726015.4,38114586.65,2374272.13,8439514.61,2652401.08,4835878.93,8439514.61,1422511578,0
134019,3,3,2,1,109872113.8,99914594.84,40481762.87,52661886.61,10098360.37,2184722981,4933333.33,2403824691,750000,247989242.3,28599196.89,52370215.54,68742326.78,6042761.75,1286976.54,3887047.99,312326244.1,2716150935,50000000,172993023.7,58255537.81,1388307.67,121395574.9,10803628.6,79849431.38,677685504.1,4122509.356,122636620.2,1241936620,1919622124,324000000,302518423.4,17542049.55,152468337.6,796528810.6,15638548.73,796528810.6,2716150935,-2450340.356,8600000,-124146767.5,1327000000,-798930414.5,1658510.144,124010100.5,115641749.2,1232481021,32217659.45,116690048,431777972.5,499946462.9,3140745.75,96677716.65,-183580.486,24990208.73,81945101.38,1298876877,68168490.4,124146767.5,216700000,5932004.314,1019754899,13194397.18,109872113.8,136667,1327000000,9187987.97,307245101.4,38871967.57,12820956.29,729260135.1,729260135.1,123521898.6,126256049.1,3293687,91901534.01,-318355.194,91901534.01,91901534.01,12820956.29,1197209.59,9463749.8,487015340,91901534.01,75983088.42,4179407.25,-476734.402,31620364.54,1445256.75,-456048.254,615825042.3,0
