TICKER_SYMBOL,ACT_PUBTIME,PUBLISH_DATE,END_DATE_REP,END_DATE,CASH_C_EQUIV,NOTES_RECEIV,AR,PREPAYMENT,OTH_RECEIV,INVENTORIES,OTH_CA,T_CA,AVAIL_FOR_SALE_FA,LT_EQUITY_INVEST,FIXED_ASSETS,CIP,INTAN_ASSETS,GOODWILL,LT_AMOR_EXP,DEFER_TAX_ASSETS,OTH_NCA,T_NCA,T_ASSETS,ST_BORR,AP,ADVANCE_RECEIPTS,PAYROLL_PAYABLE,TAXES_PAYABLE,OTH_PAYABLE,T_CL,DEFER_REVENUE,T_NCL,T_LIAB,PAID_IN_CAPITAL,CAPITAL_RESER,SURPLUS_RESER,RETAINED_EARNINGS,T_EQUITY_ATTR_P,MINORITY_INT,T_SH_EQUITY,T_LIAB_EQUITY,C_PAID_OTH_FINAN_A,N_CF_FR_INVEST_A,C_FR_BORR,N_CF_OPERATE_A,C_FR_CAP_CONTR,C_PAID_INVEST,C_INF_FR_INVEST_A,C_PAID_G_S,C_PAID_FOR_OTH_OP_A,PROC_SELL_INVEST,C_FR_SALE_G_S,REFUND_OF_TAX,C_INF_FR_OPERATE_A,GAIN_INVEST,N_CHANGE_IN_CASH,FOREX_EFFECTS,C_PAID_FOR_TAXES,C_PAID_DIV_PROF_INT,C_OUTF_OPERATE_A,C_FR_OTH_OPERATE_A,C_OUTF_FR_INVEST_A,C_PAID_FOR_DEBTS,DISP_FIX_ASSETS_OTH,N_CF_FR_FINAN_A,N_CE_BEG_BAL,N_CE_END_BAL,PUR_FIX_ASSETS_OTH,C_INF_FR_FINAN_A,C_PAID_TO_FOR_EMPL,C_OUTF_FR_FINAN_A,ADMIN_EXP,A_J_INVEST_INCOME,REVENUE,T_REVENUE,T_PROFIT,OPERATE_PROFIT,ASSETS_IMPAIR_LOSS,COMPR_INC_ATTR_P,T_COMPR_INCOME,N_INCOME_ATTR_P,INVEST_INCOME,FINAN_EXP,SELL_EXP,COGS,N_INCOME,BIZ_TAX_SURCHG,NOPERATE_EXP,COMPR_INC_ATTR_M_S,INCOME_TAX,NOPERATE_INCOME,MINORITY_GAIN,T_COGS,FLAG
10083,4,4,4,1,39296828.17,11104902.26,311796093.3,1379073.18,2154800.58,48261579.4,4367260.696,402888374.6,2511024,26074967.04,48958926.45,4846246.73,22257664.77,6176302.78,1860142.844,5826013.49,3798126.77,85406096.86,488294471.5,32000000,168359826.2,17053301.47,3278602.27,17445784.8,2348251.54,240539099.6,2993495.082,4140592.31,244679691.9,66000000,56302776.06,17858080.02,95060467.85,243614779.6,3667397.692,243614779.6,488294471.5,5364086.756,-3895409.39,32000000,-18443416.41,13174000,29102000,364799.61,254066788.3,17277892.5,16447.49,314596069.7,8270618.44,319967576.7,143363.56,-22429659.12,-971654.618,24463892.13,17090833.32,338410993.1,5371506.94,4260209,15000000,255498.77,-90833.32,61726487.29,39296828.17,4260209,32000000,42602420.17,32090833.32,24331999.65,-362783.044,354841713.1,354841713.1,50056647.44,49408839.48,2974940.18,36827316.85,36827316.85,36827316.85,-18965.79,601947.23,2514797,267074359.5,36827316.85,7915864.26,382566.13,446204.08,13229330.59,1030374.09,446204.08,305413907.8,0
34130,3,3,2,1,1901583200,25630000,179636500,250780000,50272400,245231400,56526100,2709659600,12000000,269974100,8143994800,653062100,236620200,89634900,1884178200,31658195.33,373852996.6,11364838100,14074497700,17719500,1148136700,1584306400,287734800,9945900,390063900,4994722700,134570800,169095400,5163818200,2391099800,4831795100,338210500,763902400,8325007800,585671700,8910679500,14074497700,6000000,-1692479900,64844100,2144696600,72632100,222500000,336042200,1022065400,489373700,254370100,4452522300,30911838.41,4693463800,17652800,91828800,-827330.31,141922100,470877100,2548767200,240941500,2028522100,1520987000,64019300,-360387900,1809754300,1901583200,1806022100,1637476200,895406100,1997864100,420807000,24183000,3935607100,3935607100,729244200,638567300,4861800,690858300,729244200,690858300,26558500,69549100,207727200,2527546000,729244200,93107300,30988600,38385900,0,121665500,38385900,3323598400,0
38184,3,3,2,1,160988931.5,28001732.28,773375345.6,3587776.22,13401423.52,46775158.2,1118324.23,999246959.3,4235646.15,5195879.94,31795220.38,46293808.09,19891984.86,153083830.3,1491358.058,10230934.89,10929668.39,273364394.5,1272611354,164500000,250190006.3,9467334.68,22704720.4,50364437.46,15994286.98,538701812.4,540000,42168540,580870352.4,214265281,255118700.8,9089146.55,175995683.1,657334348.2,34406653.11,691741001.3,1272611354,14638364.7,-68597216.82,250000000,9969851.49,94748677.29,19524000,33692390.79,325073245.8,74494819.15,1400000,559532698,1505332.69,570620304.2,1945875.598,3476234.56,-33169.38,27048894.71,24093543.32,560650452.7,9582273.52,102289607.6,250050000,718952,62136769.27,144757254.4,148233489,57005607.61,350918677.3,134033493.1,288781908,87668473.22,-739659.87,716417047.6,716417047.6,80024483.58,72793577.64,17288607.53,62848702.02,65375140.61,62848702.02,-917717.59,13084339.81,40702790.7,474479650.1,65375140.61,9481891.02,994299.65,2526438.59,14649342.97,8225205.59,2526438.59,642705752.4,0
42991,2,2,2,1,2213448225,14174346,1890363626,227915556,196717958,996583099,236069531,5807522254,64764662,139058899,1768896223,276749271,631665525,156110131,103494600,84771633,119586921.5,3568928539,9376450793,209139575,805545291,593558197,354922512,67598043,183768414,2878850661,270190713,981536252,3860386913,1227594245,355195990,719551079,3096964347,5329762555,186301325,5516063880,9376450793,1351372,-184039969,738648281,303851532,4000000,3524235058,3851961362,3892658197,545381189,3680500000,7735400303,123223573,8183194413,74995334,66928106,4659448,484457633,245836415,7879342881,324570537,4036001331,553003399,38315863,-57542905,2088199345,2155127451,489300713,742648281,2956845862,800191186,1173997714,33813510,7452753233,7452753233,445130174,241367528,67992054,394652625,370730827,410938749,85929224,39185293,657573048,5308680595,384531414,67218955,3366765,-23921798,60598760,207129411,-26407335,7314647659,0
73662,3,3,2,1,37138424.7,7221069.82,78381480.61,7000943.68,60850292.57,94062748.37,319240.59,277753130.5,6538470.16,41239.6,65310773.26,2198647.522,651180.64,588667.196,1148116.724,2264026.16,5089317.448,74805689.82,352558820.3,83767178.83,31114900.33,3719567.28,867895.56,-36211.97,6692633.27,126125963.3,3100000,3100000,129225963.3,161070000,131100762.9,13438289.77,-82371381.96,223237670.7,95186.34,223332857,352558820.3,23214734.65,752207.11,110455724.4,-42536980.37,22179840,19205200,2538910.91,266759007.8,47197890.33,17399468.23,299088599.7,1271435.796,311574428,2528025.45,-53268905.9,-1342668.96,10002784.25,8308747.58,354111408.4,12485828.36,1786703.8,113631109.5,10885.46,-11484132.64,86838713.28,33569807.38,1786703.8,110455724.4,30151725.99,121939857.1,35934053.34,-447235.46,233520625.3,233520625.3,-63017003.66,-65165397.5,19333589.88,-61968154.22,-61982962.55,-61968154.22,1496319.99,4743576.64,14715058.1,224235972.7,-61982962.55,1220092.19,56169.88,-14808.33,-1034041.11,2204563.72,-14808.33,300182342.8,0
84271,2,2,2,1,190117244.9,6011648.972,266505233.4,33236452.43,2373376.53,62705699.27,3851349.32,496083656.6,15023250,7221098.634,4279700.57,3886902.596,5732018.36,17841615.34,28301.9,4918519.54,26956878.04,14958540.37,511042197,20000000,112436670.8,13625635.77,2288972.28,29818937.33,2439927.84,183939607.3,8703433.334,25173383.93,183939607.3,48000000,68852959.9,22565769.45,187683860.3,327102589.6,859442.01,327102589.6,511042197,1162618.384,-398837,20000000,47194565.48,63061291.4,37185000,27588761.06,544155232.9,21166485.12,29258250,650818965.9,1265614.322,664313861.1,2871611.506,39068794.73,-78217.552,20078810.52,7726933.75,617119295.6,13494895.2,398837,20000000,209887.792,-7726933.75,151048450.2,190117244.9,398837,20000000,31718767.07,27726933.75,16639131.06,490336.81,692707601.6,692707601.6,88651287.28,83996179.04,4563856.38,77416583.22,77416583.22,77416583.22,3566485.382,822464.58,13428574.97,567753551.7,77416583.22,5503843.85,209833.76,-342493.086,11234704.06,4864942,-342493.086,608711422.5,0
86707,5,5,4,1,83597466.67,2150914.2,46407238.4,4896093.19,2865247.15,5466525.06,1026630.858,143232570.5,1157480,1249587.408,4313337.92,21491049.51,12173836.09,1018050.852,693052.62,1032990.93,5290009,17520164.94,160752735.4,5400000,5055025.84,4926938.39,3391684.18,4597459.92,278850.59,18249958.92,4130000,4130000,22379958.92,75000000,57023314.38,760484.06,5058235.29,137842033.7,530742.76,138372776.5,160752735.4,12542219.23,-1084940.54,13131200,6439814.45,34150160,32157480,2611979.54,27924186.57,19732668.64,1000000,74716033.62,6942503.38,87515679.17,1581953.54,5354873.91,762452.564,16388458.63,5052549,81075864.72,5857142.17,3696920.08,13597600,25588.538,4096030.9,78192592.76,83547466.67,3696920.08,46704171.1,17030550.88,19855169.1,23742723.92,309631.314,85645657.39,85645657.39,29610921.62,21300611.8,1957758.74,26348277.04,26456572.03,26348277.04,1461979.54,-567989.87,9656193.55,29968383.42,26456572.03,1049955.37,151517.56,108294.99,3154349.59,8461827.38,108294.99,65807025.13,0
89435,4,4,4,1,208182670.6,14333536.1,119343662.6,888277.33,4365077.63,37476489.74,132148488.3,370256177.9,20928000,14165774.25,18966238.79,63457459.19,373370.12,7621127.842,1568366.636,2265876.05,41283170,64941242.11,435197420,9211107.866,78985664.41,12172805.85,7029640.06,10361280.88,2508349.23,117287682.7,1231008.14,1231008.14,118518690.8,67600000,64331175.57,29557923.73,155186593.5,316675692.8,3036.44,316678729.2,435197420,1649152.4,-40205589.68,10397536.31,40317036.42,40000,571600000,573823851.1,238636266,57345215.28,571600000,415941030.3,3927760.75,443646606.3,2222551.11,-8033196.24,62557.02,14090518.76,8247200,403329569.9,23777815.26,614029440.8,16647460.45,1300,-8207200,61410245.98,-8033196.24,42429440.79,40000,93257569.9,8247200,33336632.51,-937153.406,420273251.9,420273251.9,56373333.69,52060381.07,3164779.1,49710149.8,49687280.25,49710149.8,2222551.11,-677753.1,17383924.65,315936054.2,49687280.25,1291784.59,8097.31,-22869.55,6686053.44,4321049.93,-22869.55,370435421.9,0
120846,3,3,2,1,2771867988,1171938237,5713329558,398750188,109694016,2063929380,82977147.83,12231797627,304154695.2,181411326.1,460703616.2,37068108.27,204215164.7,477378.48,8368671.98,134738388.4,114692441.5,1041804892,13273602519,615500000,4206387884,1519000299,44246646.28,125034954.5,51962577.09,7113456465,5870000,31262948.68,7144719414,2428953351,1113404603,428909951.5,2100857731,6072125636,56757469.38,6128883106,13273602519,797736,-161440966.6,601000000,737540621.5,342597675.6,484875109.3,3252455.86,4071758014,707293150.8,417091781.3,7104800460,389098290.2,7552265993,103635095,275838784.7,-261530.99,969600084.8,354201603.1,6814725372,58367242.94,164693422.5,546000000,1087543.86,-299999339.1,2250391717,2526230502,164693422.5,601000000,1066074122,900999339.1,494415573,-9599680.176,9575634914,9575634914,1795558592,1487531051,156272989,1600321182,1615195127,1600321182,116480046.7,8099549.45,363979755,6981762210,1615195127,83573785.88,1749023.12,14873944.21,180363465.2,309776563.6,14873944.21,8088103862,0
130119,5,5,4,1,58918434.19,6472981.284,80599459.05,3885023.05,2526995.92,2940418.44,437772.35,149308103,7821110.984,24727622.14,357230600.6,47116816.72,42994135.01,5803469,3943912.96,3121605.644,31573585.37,439864915.6,589173018.6,101000000,112737670.9,154339.62,2838787.65,2129881.9,12634187.06,310571022,28515000,194015000,504586022,25000000,60361900.19,3545860.28,52541498.88,81087359.16,3499637.48,84586996.64,589173018.6,13970255.1,-100572973.5,187750000,3709661.38,3500000,17222000,22103000,137046169.2,15870160.99,64632937.03,174419029.8,5596415.91,176052806.8,2466192.97,30938321.9,194268.594,7695972.99,17718366.03,172343145.5,1633776.99,122675973.5,45730000,13000,127801634,19833094.04,50771415.94,122675973.5,191250000,11730842.32,63448366.03,26864248.31,5556871.368,200102619,200102619,38973436.83,37815320.96,982885.992,33291413.97,33291051.45,33291413.97,5572173.064,12989669.75,8453438.244,122453219.6,33291051.45,-19839.58,17496.85,-362.52,5682385.38,1175612.72,-362.52,162287298.1,0
